Time step	Amplitude - target	Amplitude - trained data
1	0.428809047110995	0.428809047107658
2	0.495243117455052	0.495243117453621
3	0.544122812217275	0.54412281221577
4	0.578280580870166	0.578280580869242
5	0.600167590069778	0.600167590069001
6	0.611895026292867	0.611895026291487
7	0.615275498539846	0.615275498538191
8	0.611860988576167	0.611860988574259
9	0.60297664523354	0.602976645232994
10	0.589750566828671	0.589750566827585
11	0.573139939583944	0.573139939582499
12	0.553953932726001	0.553953932725032
13	0.532873728034016	0.532873728033261
14	0.510470025012858	0.510470025012902
15	0.487218325334322	0.487218325332302
16	0.463512265347243	0.463512265346746
17	0.439675234106081	0.439675234104963
18	0.45318914780054	0.453189147799586
19	0.493262533952839	0.493262533951603
20	0.551110381906739	0.551110381905497
21	0.619672917614373	0.619672917612926
22	0.693350599226838	0.693350599224497
23	0.767833870633082	0.767833870632027
24	0.839963706703116	0.839963706702444
25	0.907546909153746	0.907546909153704
26	0.9691305688053	0.969130568805023
27	1.02378942140966	1.02378942140994
28	1.07096690435776	1.070966904357
29	1.11037578713383	1.11037578713357
30	1.14194141053895	1.14194141053762
31	1.16576630681426	1.16576630681292
32	1.1821014062781	1.18210140627802
33	1.19131740316916	1.1913174031702
34	1.19387558713132	1.19387558713155
35	1.19029983113724	1.19029983113664
36	1.18115157520103	1.18115157520246
37	1.17628197656901	1.17628197656863
38	1.18183811781788	1.18183811781868
39	1.2009882175544	1.20098821755395
40	1.23420759243962	1.23420759243894
41	1.27873419281967	1.27873419281972
42	1.32712478340166	1.3271247834014
43	1.36674336448284	1.36674336448304
44	1.38401512454323	1.38401512454315
45	1.37222774710654	1.37222774710703
46	1.33415911567999	1.3341591156773
47	1.27765285725562	1.27765285725722
48	1.21074594664889	1.21074594664609
49	1.13963771080563	1.13963771080652
50	1.06856692742198	1.06856692742285
51	1.00029187127974	1.0002918712767
52	0.936594178318071	0.93659417832013
53	0.878664081622492	0.878664081623166
54	0.827371371181496	0.827371371179235
55	0.783455097876245	0.783455097877133
56	0.745178853295143	0.745178853293093
57	0.709308778316823	0.709308778317374
58	0.67248275923587	0.672482759234564
59	0.63265738990789	0.632657389907346
60	0.589868296503114	0.589868296499882
61	0.545836698928058	0.54583669892808
62	0.502863074619673	0.502863074618327
63	0.462987808765457	0.462987808762629
64	0.427903029042564	0.427903029046926
65	0.399406256569518	0.3994062565669
66	0.380087556403027	0.380087556398204
67	0.374070653751487	0.37407065375434
68	0.387365343028728	0.387365343025787
69	0.426598987718869	0.426598987716753
70	0.494902465790746	0.494902465785609
71	0.587383340332113	0.587383340329249
72	0.692223628539986	0.692223628542403
73	0.797126812729818	0.797126812727962
74	0.8940420916734	0.894042091671319
75	0.979399116654747	0.979399116654387
76	1.05191758615511	1.05191758615642
77	1.1109632815466	1.11096328154398
78	1.15602607534367	1.15602607534428
79	1.1869564364762	1.1869564364777
80	1.20432069681479	1.20432069681309
81	1.20944212651205	1.20944212650765
82	1.20417942210132	1.20417942210023
83	1.19070972419415	1.19070972419631
84	1.17147742281444	1.17147742281513
85	1.14934409592741	1.14934409592551
86	1.12792107914616	1.12792107914815
87	1.11196109958651	1.11196109958727
88	1.10738813177613	1.10738813177276
89	1.12023876312348	1.12023876312291
90	1.15416876901645	1.15416876901831
91	1.20651044661964	1.20651044661967
92	1.26229694524886	1.26229694524731
93	1.29482857632641	1.2948285763271
94	1.28685347111402	1.28685347111586
95	1.24372854280455	1.24372854280549
96	1.17999516527817	1.17999516527815
97	1.10766476021415	1.10766476021221
98	1.03427861500478	1.03427861500271
99	0.964219192898054	0.964219192898592
100	0.900063919563655	0.900063919563119
101	0.843456871659077	0.843456871657774
102	0.795587134961828	0.795587134962754
103	0.757365884090193	0.757365884089305
104	0.729294774346302	0.729294774346764
105	0.710951408628898	0.710951408628527
106	0.700125368507974	0.700125368508262
107	0.692093889961319	0.692093889957315
108	0.680149458625776	0.680149458625275
109	0.658350942310274	0.658350942308326
110	0.625408796844953	0.625408796844378
111	0.585671457582349	0.585671457582331
112	0.545539762842795	0.545539762841182
113	0.51040487888948	0.510404878883757
114	0.485124130102835	0.485124130099545
115	0.475725713235576	0.475725713235912
116	0.490029584542702	0.490029584543246
117	0.535017869946263	0.535017869945629
118	0.610539971999273	0.610539971998416
119	0.706165133730367	0.706165133729011
120	0.8072912169059	0.807291216903801
121	0.903046229461857	0.903046229461135
122	0.988445163497749	0.988445163494399
123	1.06271408254318	1.06271408254296
124	1.12714107752552	1.12714107752439
125	1.18347850347298	1.1834785034719
126	1.23286738100372	1.23286738100277
