Time step	Amplitude - ground truth	Amplitude - prediction
501	0.675799318338145	-0.469580680779293
502	0.776658010010954	-0.289269330620603
503	0.873866802432986	-0.0942287382999517
504	0.963082146958844	0.0623225721647408
505	1.04072225238006	0.167031175805884
506	1.10407716354726	0.224336522109562
507	1.1517889351975	0.296542918840752
508	1.18393527474233	0.384122900916547
509	1.20163936452953	0.467640906447324
510	1.20658574121851	0.568403016813401
511	1.20071370591494	0.649626827017338
512	1.18615056998559	0.690512101377673
513	1.16534268871994	0.751687892866395
514	1.14132503993731	0.846478333685847
515	1.11810899314828	0.95440087130991
516	1.10095974063679	1.08823889158797
517	1.0959546611262	1.14599306493418
518	1.10845621529465	1.13835647489388
519	1.14116012111474	1.10700675505658
520	1.19189953404681	1.05439580725082
521	1.24925199639764	1.00388368170301
522	1.28925582139029	1.03743181757435
523	1.28990838123366	1.0450218291326
524	1.25178823847571	1.02601082617097
525	1.18985314280205	0.985709551863957
526	1.11779407587408	0.931529416830509
527	1.04413833146339	0.867727460692132
528	0.973684241804409	0.806377792662753
529	0.9091925341049	0.755179976268702
530	0.852439496440846	0.715054324481836
531	0.804772805764514	0.684382309510548
532	0.767305998444548	0.662745735398895
533	0.740737611896593	0.648660876025853
534	0.724690075736178	0.640411427256632
535	0.716671358389361	0.635196402502326
536	0.711427354116884	0.62857372775583
537	0.701862498063709	0.614960649214746
538	0.681890977336654	0.591070335002352
539	0.649895501374607	0.55870151181288
540	0.609747790462923	0.522844110754742
541	0.56789018003498	0.489107292402688
542	0.530137163767537	0.463461041530574
543	0.501554969575983	0.452219142548567
544	0.488079975548884	0.463014448858568
545	0.497411453771875	0.503292346111872
546	0.536904830924534	0.574238822007525
547	0.607574012534342	0.667048988021899
548	0.700140740510519	0.768476567141571
549	0.800172747571765	0.866690673212398
550	0.896263248766697	0.956046457427684
551	0.982878511888295	1.03278409420595
552	1.0589366447834	1.10225387273116
553	1.12559838749006	1.16505573050203
554	1.1845435901642	1.2217864641796
555	1.23685649425085	1.27070381689581
556	1.28249667799785	1.30998667093767
557	1.32021083092705	1.33893235280042
558	1.34797894194447	1.35444755267944
559	1.36427627163249	1.35540571413302
560	1.36920478147245	1.34586357948892
561	1.36452874650725	1.33259542832142
562	1.35330692306501	1.32182526436649
563	1.33987931923176	1.31531317432749
564	1.33010029779805	1.31785574723112
565	1.33098332469986	1.33560167084924
566	1.34848806155361	1.36800247182422
567	1.38269323258642	1.40440617701715
568	1.42074987308929	1.42135347054004
569	1.43668065593453	1.40076729440583
570	1.41277416853082	1.34574685858187
571	1.35380935962319	1.26910952194616
572	1.27381339218595	1.18135217115404
573	1.18440493363363	1.09047927388637
574	1.09291408691759	1.00166938051351
575	1.00360202254594	0.917394818885251
576	0.918879090296532	0.838812921977743
577	0.840073551544397	0.766894286023936
